long1, lat1, long2, lat2, distance
-104.8319, 39.7294, -104.9114, 39.6159, 18.22
-104.8319, 39.7294, -104.961, 40.1112, 55.41
-104.8319, 39.7294, -105.0142, 39.8661, 29.04
-104.8319, 39.7294, -104.8864, 39.5372, 28.81
-104.8319, 39.7294, -103.2077, 40.6255, 206.83
-104.8319, 39.7294, -108.729, 39.1589, 431.89
-104.8319, 39.7294, -105.1686, 39.9528, 45.19
-104.8319, 39.7294, -106.8317, 40.485, 273.90
-104.8319, 39.7294, -104.8961, 39.458, 38.80
-104.8319, 39.7294, -105.0811, 40.3083, 84.23
-105.0844, 40.5853, -104.9719, 39.868, 89.01
-105.0844, 40.5853, -105.0649, 39.813, 101.79
-105.0844, 40.5853, -105.0372, 39.8367, 94.83
-105.0844, 40.5853, -104.7091, 40.4233, 57.18
-105.0844, 40.5853, -104.6091, 38.2544, 305.06
-105.0844, 40.5853, -104.8772, 39.5807, 125.56
-105.0844, 40.5853, -105.2705, 40.015, 104.40
-105.0844, 40.5853, -105.1092, 40.1717, 67.65
-105.0844, 40.5853, -105.0526, 40.3989, 32.90
-105.0844, 40.5853, -105.0866, 39.9205, 88.28
-105.0844, 40.5853, -104.8561, 39.3722, 170.50
-105.0844, 40.5853, -108.5507, 39.0639, 488.64
-105.0844, 40.5853, -104.9339, 39.8083, 98.70
-105.0844, 40.5853, -104.7658, 39.5194, 144.83
-105.0844, 40.5853, -105.0166, 39.6133, 118.24
-105.0844, 40.5853, -104.9014, 40.4775, 26.57
-105.0844, 40.5853, -104.8205, 39.9853, 86.85
-105.0844, 40.5853, -104.9872, 39.8855, 85.31
-105.0844, 40.5853, -105.1, 40.0003, 82.17
-105.0844, 40.5853, -104.7008, 38.6822, 257.86
-105.0844, 40.5853, -104.7105, 40.3793, 53.38
-105.0844, 40.5853, -105.1319, 39.9778, 90.23
-105.0844, 40.5853, -107.8762, 38.4783, 573.57
-105.0844, 40.5853, -105.2305, 39.7542, 116.05
-105.0844, 40.5853, -107.88, 37.2753, 637.98
-105.0844, 40.5853, -104.9122, 40.3369, 40.88
-105.0844, 40.5853, -105.2283, 38.4467, 307.31
-105.0844, 40.5853, -104.9361, 40.1314, 61.68
-105.0844, 40.5853, -104.9114, 39.6159, 121.83
-105.0844, 40.5853, -104.961, 40.1112, 61.81
-105.0844, 40.5853, -105.0142, 39.8661, 89.75
-105.0844, 40.5853, -104.8864, 39.5372, 153.47
